Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
23/107,2023-09-21,1,10,22,28,33,46,37,10,3,3,2,4,2,0,2,1,1,0,0.00,2.5,935300.00,101,61730.00,351.5,9600.00,5729.8,640.00,5903.3,320.00,103279.2,40.00,55910696
23/106,2023-09-19,8,9,10,27,35,38,46,10,3,3,3,3,3,0,1,2,0,0,0.00,2,1110010.00,103,57470.00,228.5,9600.00,5867.6,640.00,5467,320.00,106730.4,40.00,52280526
23/105,2023-09-16,10,24,34,40,41,45,35,,2,4,2,4,1,0,1,2,2,0,0.00,0,0.00,41.5,125130.00,148.5,9600.00,2711,640.00,4464.7,320.00,50888.4,40.00,38689064
23/104,2023-09-14,17,27,30,31,32,38,11,"30,32",1,5,3,3,0,1,2,3,0,0,0.00,2,799280.00,42,101490.00,157,9600.00,2876.8,640.00,4795.4,320.00,49037.2,40.00,34362063
23/103,2023-09-12,4,10,12,16,30,32,14,"4,32",4,2,0,6,2,2,1,1,0,1,34785090.00,6.5,401140.00,169.2,41090.00,352.2,9600.00,7486.1,640.00,9221.8,320.00,124171.7,40.00,65170461
23/102,2023-09-09,4,6,19,32,39,42,34,,3,3,2,4,2,1,0,2,1,0,0.00,2,1171250.00,41.5,150520.00,177,9600.00,3304,640.00,4444,320.00,70013.8,40.00,46662389
23/101,2023-09-07,20,22,24,25,29,49,36,"20,24",3,3,3,3,0,1,4,0,1,0,0.00,2,1196060.00,63.5,100450.00,140.5,9600.00,3321.7,640.00,4022.1,320.00,63332.8,40.00,45962669
23/100,2023-09-05,2,5,20,24,27,32,12,20,4,2,2,4,2,1,2,1,0,0,0.00,1,1586290.00,48.5,87210.00,298.5,9600.00,3650,640.00,8058.3,320.00,69165.1,40.00,41052009
23/099,2023-09-03,15,20,25,39,45,48,28,15,2,4,4,2,0,2,1,1,2,0,0.00,4,440280.00,33.5,140190.00,133.5,9600.00,2359.2,640.00,3338.4,320.00,44070.6,40.00,34305064
23/098,2023-08-31,10,15,17,21,40,44,12,,4,2,3,3,1,2,1,1,1,1,8000000.00,0,0.00,32.5,145510.00,83.5,9600.00,2182.6,640.00,3547.3,320.00,44177.4,40.00,33505359
23/097,2023-08-29,3,6,7,33,36,46,4,46,3,3,3,3,3,0,0,2,1,1,20215930.00,4.5,444020.00,142,37520.00,274.5,9600.00,6181.8,640.00,7916.6,320.00,94948.2,40.00,51038741
23/096,2023-08-26,16,26,31,35,39,46,3,"31,46",1,5,3,3,0,1,1,3,1,0,0.00,1,2073870.00,36.5,151510.00,103,9600.00,2779,640.00,3667.9,320.00,52862.3,40.00,39349610
23/095,2023-08-24,6,18,29,31,44,46,8,,2,4,2,4,1,1,1,1,2,0,0.00,1,1697460.00,33,137160.00,131,9600.00,2349,640.00,4567.9,320.00,46508.4,40.00,34293799
23/094,2023-08-22,1,5,7,12,48,49,16,,4,2,4,2,3,1,0,0,2,1,8000000.00,6,134400.00,214.5,19200.00,322,9600.00,7172,640.00,5866.9,320.00,96462.5,40.00,37363159
23/093,2023-08-19,8,14,18,20,23,25,44,18,5,1,2,4,1,3,2,0,0,2,6369920.00,9,175540.00,135,31200.00,208.5,9600.00,5049.7,640.00,4169.4,320.00,82714.8,40.00,39723946
