期數,日期,中獎號碼 1,2,3,4,5,6,特別號碼,上期出現號碼,小,大,單數,雙數,1-10,11-20,21-30,31-40,41-50,頭獎 中獎注數,頭獎 每注獎金,二獎 中獎注數,二獎 每注獎金,三獎 中獎注數,三獎 每注獎金,四獎 中獎注數,四獎 每注獎金,五獎 中獎注數,五獎 每注獎金,六獎 中獎注數,六獎 每注獎金,七獎 中獎注數,七獎 每注獎金,八獎 中獎注數,八獎 每注獎金
112000090,2023-09-29,6,9,18,35,38,48,25,"9,38",3,3,2,4,2,1,0,2,1,0,0.00,2,1369774.00,63,46829.00,143,13263.00,2701,2000.00,4023,1000.00,40495,400.00,50826,400.00
112000089,2023-09-26,9,14,26,37,38,39,8,38,2,4,3,3,1,1,1,3,0,0,0.00,2,1145243.00,67,36816.00,182,8712.00,2964,2000.00,4037,1000.00,39966,400.00,49484,400.00
112000088,2023-09-22,2,13,32,36,38,43,34,,2,4,2,4,1,1,0,3,1,1,272890685.00,1,2958817.00,63,50578.00,180,11380.00,3461,2000.00,4562,1000.00,43893,400.00,57899,400.00
112000087,2023-09-19,3,16,24,35,37,41,27,"16,37",3,3,4,2,1,1,1,2,1,0,0.00,3,1046755.00,85,39786.00,137,15868.00,3007,2000.00,3993,1000.00,41671,400.00,53488,400.00
112000086,2023-09-15,12,16,19,30,37,39,14,,3,3,3,3,0,3,1,2,0,0,0.00,1,2843222.00,41,74681.00,141,13960.00,2668,2000.00,3592,1000.00,36181,400.00,50569,400.00
112000085,2023-09-12,21,22,26,33,34,35,46,"33,34",2,4,3,3,0,0,3,3,0,0,0.00,3,4830647.00,38,72051.00,120,14667.00,2801,2000.00,3197,1000.00,31661,400.00,49067,400.00
112000084,2023-09-08,14,20,23,33,34,40,24,"14,34,40",3,3,2,4,0,2,1,3,0,0,0.00,0,0.00,21,95398.00,96,13415.00,1522,2000.00,2029,1000.00,21015,400.00,27714,400.00
112000083,2023-09-05,12,14,32,34,40,48,39,34,2,4,0,6,0,2,0,3,1,0,0.00,0,0.00,15,120323.00,64,18129.00,1363,2000.00,1646,1000.00,18386,400.00,24926,400.00
112000082,2023-09-01,1,19,26,34,45,49,37,,2,4,4,2,1,1,1,1,2,0,0.00,0,0.00,42,41586.00,76,14773.00,1874,2000.00,2055,1000.00,20320,400.00,30069,400.00
112000081,2023-08-29,6,7,10,22,41,42,31,10,4,2,2,4,3,0,1,0,2,0,0.00,0,0.00,34,48260.00,72,14650.00,1725,2000.00,2296,1000.00,20841,400.00,32336,400.00
112000080,2023-08-25,2,10,20,31,33,46,24,"2,46",3,3,2,4,2,1,0,2,1,0,0.00,0,0.00,29,63127.00,61,19293.00,1544,2000.00,1950,1000.00,21325,400.00,27863,400.00
112000079,2023-08-22,2,19,26,34,43,46,31,19,2,4,2,4,1,1,1,1,2,0,0.00,0,0.00,30,63366.00,83,14723.00,1562,2000.00,1861,1000.00,19711,400.00,27872,400.00
112000078,2023-08-18,13,19,21,24,41,45,44,,4,2,5,1,0,2,2,0,2,1,100000000.00,0,0.00,27,71901.00,65,19200.00,1416,2000.00,1762,1000.00,18867,400.00,26926,400.00
112000077,2023-08-15,10,22,26,30,34,43,41,34,2,4,1,5,1,0,3,1,1,0,0.00,5,291575.00,37,42433.00,200,5046.00,1954,2000.00,3309,1000.00,24423,400.00,30980,400.00
112000076,2023-08-11,8,27,34,38,39,47,30,,1,5,3,3,1,0,1,3,1,0,0.00,1,1619076.00,25,69744.00,44,25474.00,1441,2000.00,1888,1000.00,19651,400.00,27604,400.00
112000075,2023-08-08,11,26,28,30,41,45,22,41,1,5,3,3,0,1,3,0,2,0,0.00,2,2049421.00,30,62286.00,73,16455.00,1642,2000.00,2270,1000.00,22865,400.00,29298,400.00
112000074,2023-08-04,6,10,21,34,38,41,47,"38,41",3,3,2,4,2,0,1,2,1,1,316099412.00,0,0.00,136,18717.00,103,15887.00,3201,2000.00,2853,1000.00,28840,400.00,46160,400.00
